t,x_cin,v_cin,x_pot,v_pot,E_cin_total,E_pot_total
0,3,-8,3,-8,32,32
0.0001,2.9992,-8,2.9992,-8,32,32
0.0002,2.9984,-8,2.9984,-8,32,32
0.0003,2.9976,-8,2.9976,-8,32,32
0.0004,2.9968,-8,2.9968,-8,32,32
0.0005,2.996,-8,2.996,-8,32,32
0.0006,2.9952,-8,2.9952,-8,32,32
0.0007,2.9944,-8,2.9944,-8,32,32
0.0008,2.9936,-8,2.9936,-8,32,32
0.0009,2.9928,-8,2.9928,-8,32,32
0.001,2.992,-8,2.992,-8,32,32
0.0011,2.9912,-8,2.9912,-8,32,32
0.0012,2.9904,-8,2.9904,-8,32,32
0.0013,2.9896,-8,2.9896,-8,32,32
0.0014,2.9888,-8,2.9888,-8,32,32
0.0015,2.988,-8,2.988,-8,32,32
0.0016,2.9872,-8,2.9872,-8,32,32
0.0017,2.9864,-8,2.9864,-8,32,32
0.0018,2.9856,-8,2.9856,-8,32,32
0.0019,2.9848,-8,2.9848,-8,32,32
0.002,2.984,-8,2.984,-8,32,32
0.0021,2.9832,-8,2.9832,-8,32,32
0.0022,2.9824,-8,2.9824,-8,32,32
0.0023,2.9816,-8,2.9816,-8,32,32
0.0024,2.9808,-8,2.9808,-8,32,32
0.0025,2.98,-8,2.98,-8,32,32
0.0026,2.9792,-8,2.9792,-8,32,32
0.0027,2.9784,-8,2.9784,-8,32,32
0.0028,2.9776,-8,2.9776,-8,32,32
0.0029,2.9768,-8,2.9768,-8,32,32
0.003,2.976,-8,2.976,-8,32,32
0.0031,2.9752,-8,2.9752,-8,32,32
0.0032,2.9744,-8,2.9744,-8,32,32
0.0033,2.9736,-8,2.9736,-8,32,32
0.0034,2.9728,-8,2.9728,-8,32,32
0.0035,2.972,-8,2.972,-8,32,32
0.0036,2.9712,-8,2.9712,-8,32,32
0.0037,2.9704,-8,2.9704,-8,32,32
0.0038,2.9696,-8,2.9696,-8,32,32
0.0039,2.9688,-8,2.9688,-8,32,32
0.004,2.968,-8,2.968,-8,32,32
0.0041,2.9672,-8,2.9672,-8,32,32
0.0042,2.9664,-8,2.9664,-8,32,32
0.0043,2.9656,-8,2.9656,-8,32,32
0.0044,2.9648,-8,2.9648,-8,32,32
0.0045,2.964,-8,2.964,-8,32,32
